科目番号／科目名,単位／年次,学期／時期,教室,担当,実施形態,概要,備考
"1130112
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",3A212,茂木 裕幸,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第2類5クラス対象 CDP. 対面
"1130122
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",3A311,掛谷 英紀,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第2類6クラス対象 CDP. 対面
"1130132
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",3A305,牛島 光一,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第2類7クラス対象 CDP. 対面
"1130142
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",3A213,藤 桂,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第2類8クラス対象 CDP. 対面
"1130152
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",2C101,臼井 健郎,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第3類1クラス対象 CDP. 対面
"1130162
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",2C102,中村 顕,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第3類2クラス対象 CDP. 対面
"1130172
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2",5C403,多田野 寛人,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第3類3クラス対象 CDP. 対面
"1130182
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2",5C404,井上 智雄,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第3類4クラス対象 CDP. 対面
"1130192
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2",5C603,高久 雅生,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第3類5クラス対象 CDP. 対面
"1130202
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2",5C604,大林 典彦,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第3類6クラス対象 CDP. 対面
"1190212
First Year Seminar
シラバスシラバス（ミラー）","1.0単位
1年次","夏季休業中
集中",1C210,オルトラーニ アンドレア,対面,This course is designed to help students become familiar with the educational system and campus life at the University of Tsukuba. Important information regarding living in Japan as a foreign resident and a general introduction on Japanese society will also be provided.,For students in Undergraduate Program of International Social Studies. 英語で授業。 対面
"1190222
First Year Seminar
シラバスシラバス（ミラー）","1.0単位
1年次","夏季休業中
集中",,"桑山 秀一
和田 洋
アーヴィング ルイス ジョン
應 ?文
康 承源
吉岡 洋輔
パークナー トーマス",対面,This course is designed to help students become familiar with the educational system and campus life at the University of Tsukuba. Important information regarding living in Japan as a foreign resident and a general introduction on living in Tsukuba city will also be provided.Lecture is conducted in English. face-to face.,For students in Interdisciplinary Program in Life and Environmental Sciences 英語で授業。 対面
"1190232
First Year Seminar
シラバスシラバス（ミラー）","1.0単位
1年次","夏季休業中
集中",3B213,"Hassan Modar
Sharmin Sonia",対面,"This is a series of information sessions for Interdisciplinary Engineering students new to the University of Tsukuba. It includes an orientation seminar to help the students make their course plans and also facility visits on campus, such as a library, health center, cafeterias, and some selected Research Laboratories in the College of Engineering Sciences and that of Engineering Systems to become familiar with campus life.",Only for IDE students 英語で授業。 対面
